ID,Y,MACCS_144,ECFP_21,ECFP_25,ECFP_45,ECFP_219,ECFP_352,ECFP_452,ECFP_654,ECFP_656,ECFP_680,ECFP_730,ECFP_765,ECFP_873,ECFP_936,EEig01x,HATS3u,BELm4,RDF010m,EEig02x,SPP,piPC10,H2u,Mor31u,H1u,TPSA(Tot),Q2,BEHv3,Mor14u,EEig02d,Mor14m,J,qnmax,TPSA(NO),EEig03x,MAXDN,Mor17v,BELe8,RBN,R1u,R6u,HOMA,BELm3,CIC4,BEHv7,L2v,PCD,RTe,HATS4u,GATS2m,Mor10v,HATS0u,Mor13u,BEHv2,As,EEig05x,Mor29m,BAC,MAXDP,Mor06u,EEig06d,Qtot,T(N..O),H5u,HNar,CIC1,Mor25u,HATS8u,RDF015m,DECC,EEig03d,RCI,HGM,R8u,RDF020m,GATS2v,H4e,BEHm3,Mor06v,Mor07m,SEigv,TE1,H7u,ATS8v,SEigZ,Qneg,Mor17u,HATS7u,EEig08x,BEHm1,QXXm,H-047,nBM,Mor20e,RDF040u,ESpm07d,RDF060u,RDF020e,R1m+,R2u,RDF105v,RDF055m,EEig05d,EEig15d,GGI4,HATS6u,GATS1p,RDF055u,H0e,Rww,Mor15m,T(O..O),GATS2p,ARR,VEA1,Mor04v,Lop,HATS3m,MATS2e,MATS2m,RDF095p,Mor21u,BEHm6,R5u,Mor04u,DP16,Mor20m,Mor12u,HATS5u,IC2,Jhetp,GGI3,GATS1m,H0v,RDF030m,R7u,H3u,R3u,E3v,HATS5m,IDDE,IVDE,RDF100u,X4v,MPC06,EEig04d,EEig04x,Mor27u,Mor18u,R4u,H8u
CHEMBL4072178,4.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.339,0.434,1.672,1.005,3.699,1.26,4.429,2.046,1.431,1.703,49.77,2.234,3.438,1.107,2.943,-0.065,1.436,-0.81,49.77,3.542,1.804,-0.506,0.798,9,1.755,0.911,0.636,1.723,0.863,2.656,1.203,19.445,25.695,0.44,1.042,0.995,0.258,1.139,3.613,48.684,2.818,-0.012,11,4.229,-1.186,1.559,5.45,31,1.784,1.886,2.772,0.755,0.231,16.006,1.909,2.848,1.404,4.499,0.486,0.574,1.059,1.968,3.434,0.894,2.925,-3.301,18.584,0.853,2.545,0.893,-2.725,-1.399,0.229,2.115,3.868,35.698,11,7,2.126,17.581,9.343,9.482,6.483,0.074,1.993,3.139,1.045,1.848,-0.735,0.658,0.324,0.866,6.566,2.939,24.842,1.189,14,1.068,0.261,3.388,0.933,0.797,0.061,-0.173,-0.174,2.495,-1.784,2.791,1.323,10.451,14.163,0.629,-1.86,0.373,3.95,1.176,1.16,0.806,0.832,2.722,0.579,2.531,2.219,0.12,0.025,3.823,1.293,11.79,2.886,37,2.496,3.117,-0.268,-2.048,1.777,0.691
CHEMBL4072417,4.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.302,0.347,1.766,1.179,4.081,1.407,5.759,3.64,1.642,2.444,57.7,4.08,3.542,2.199,3.139,-0.082,0.987,-0.838,57.7,3.677,1.571,-0.558,0.95,9,2.171,1.11,0.978,1.868,0.581,2.809,2.801,45.452,32.152,0.345,0.957,0.904,0.189,1.358,3.738,113.181,3.424,-0.065,2,4.533,-5.793,1.958,9.582,80,1.962,2.093,2.69,1.996,0.265,20.135,2.484,3.038,1.4,4.078,0.725,1.048,0.985,2.569,3.58,0.249,4.935,-3.664,34.011,1.028,3.011,1.071,-4.791,-1.665,0.248,2.801,3.905,112.638,18,13,3.098,31.319,9.645,33.094,11.786,0.098,2.228,8.652,4.599,2.675,0.659,1,0.274,1.082,22.95,2.946,23.763,1.466,6,0.999,0.364,3.547,0.25,0.327,0.082,-0.025,-0.024,6.916,-2.363,3.117,1.499,6.25,15.235,1.06,-2.744,0.337,4.523,0.793,0.938,0.98,1.159,5.193,0.86,3.902,2.348,0.234,0.051,4.215,0.982,19.325,4.163,82,2.736,3.519,-0.525,-2.988,1.852,0.672
CHEMBL4072860,6.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.617,0.142,1.806,3.723,4.124,1.26,7.421,2.356,-2.211,1.596,78.01,2.198,3.673,-0.956,3.517,-4.123,1.073,-0.81,49.77,3.927,1.796,0.676,0.898,10,1.853,1.248,-81.017,1.879,0.439,2.935,1.023,79.576,29.171,0.154,1.364,10.777,0.1,-2.328,3.801,15.093,3.342,-0.397,10,5.734,-0.489,2.438,6.997,31,1.584,2,2.616,3.189,0.101,33.196,2.285,3.275,0.821,2.14,0.632,4.52,0.855,2.34,3.697,-1.184,-3.011,-3.22,57.805,0.988,3.106,1.518,-3.499,-1.558,0.121,2.867,4.146,32.808,20,19,4.453,21.889,10.981,22.369,24.782,0.091,1.958,2.92,3.224,2.808,0.837,1.933,0.135,0.778,27.17,1.955,26.41,-1.65,14,0.956,0.514,3.917,-1.677,0.476,0.047,-0.095,-0.108,7.247,1.363,3.284,1.249,-3.658,8.788,2.322,-0.945,0.114,4.448,0.967,2.375,0.933,0.844,17.419,0.841,2.555,1.997,0,0.029,4.539,1.259,20.96,5.095,109,2.943,3.633,-1.907,-1.243,1.952,0.706
CHEMBL4073325,5.45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.617,0.121,1.777,3.654,4.124,1.288,7.456,2.236,-2.672,1.498,81.25,3.138,3.672,-1.69,3.517,-4.469,1.162,-0.838,53.01,4.116,1.805,0.694,0.956,9,1.72,1.098,-81.059,1.829,0.639,2.989,0.886,69.237,29.708,0.158,1.33,10.657,0.094,-1.188,3.828,10.363,3.633,-0.435,30,5.788,-0.309,2.804,8.373,62,1.69,1.922,2.494,4.112,0.095,35.863,2.105,3.275,0.821,2.083,0.629,4.662,0.878,2.013,3.696,-0.799,-2.603,-3.659,75.644,1.003,3.305,1.661,-4.187,-1.296,0.092,3.15,4.146,26.952,24,19,5.35,30.473,11.018,27.118,19.599,0.095,1.915,3.397,3.471,2.905,0.854,2.204,0.105,0.85,27.227,1.947,28.596,-1.661,14,0.951,0.5,3.942,-2.184,0.81,0.044,-0.112,-0.109,6.493,0.498,3.238,1.561,-3.35,8.495,2.604,-0.625,0.144,4.747,1.018,2.688,0.947,0.755,18.71,0.794,2.179,1.809,0,0.024,4.62,1.434,16.033,5.078,121,3.045,3.696,-1.926,-1.415,1.882,0.787
CHEMBL4073457,5.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.302,0.344,1.835,1.31,3.941,1.379,5.711,3.732,1.74,2.454,41.57,2.636,3.61,3.101,3.038,0.397,0.973,-0.81,41.57,3.677,1.565,-0.666,1.019,10,2.18,1.1,0.977,1.908,0.687,2.92,3.671,46.701,32.723,0.329,0.887,0.628,0.174,2.136,3.823,160.645,3.424,-0.114,2,4.547,-5.886,2.154,7.553,24,2.208,2.09,3.036,1.884,0.263,21.857,2.683,2.923,1.402,3.711,0.757,0.945,0.906,2.889,3.635,0.654,3.434,-2.786,26.435,1.185,3.074,0.786,-3.777,-2.315,0.266,2.844,3.905,151.028,16,13,2.96,31.865,9.569,36.041,10.608,0.09,2.242,10.506,6.459,2.675,0.662,1.24,0.248,0.918,27.842,2.906,25.613,1.47,6,0.917,0.353,3.528,-0.021,0.32,0.072,0.028,0.029,8.945,-3.002,3.162,1.426,8.251,15.868,0.618,-3.642,0.284,4.3,0.826,0.938,0.849,1.175,6.233,0.94,4.236,2.431,0.264,0.046,4.438,0.964,25.117,4.783,80,2.736,3.606,-0.586,-3.125,1.94,0.587
CHEMBL4074011,5.19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.302,0.325,1.78,1.208,3.941,1.379,5.72,3.519,1.887,2.366,44.81,3.588,3.566,1.964,3.06,-0.01,0.997,-0.81,44.81,3.677,1.569,-0.459,1.019,9,2.111,1.127,0.975,1.891,0.698,2.86,2.279,45.53,32.031,0.344,0.936,0.46,0.185,1.614,3.804,92.606,3.424,-0.191,2,4.542,-5.044,2.341,9.173,46,1.536,2.093,2.864,1.515,0.326,21.425,2.56,3.038,1.403,3.778,0.807,1.024,0.966,2.334,3.626,0.571,4.145,-3.225,33.292,0.804,2.996,0.929,-4.587,-2.09,0.354,2.837,3.905,95.443,22,13,2.943,30.724,9.636,28.544,11.485,0.081,2.162,6.242,9.833,2.675,0.611,1.24,0.301,1.039,33.184,2.898,23.688,1.392,6,0.982,0.364,3.554,0.005,0.327,0.065,-0.024,-0.024,9.435,-2.731,3.093,1.49,4.671,15.01,0.945,-3.068,0.336,4.354,0.798,0.938,0.939,1.118,6.252,1.018,3.717,2.286,0.221,0.054,4.374,0.982,19.639,4.258,79,2.757,3.606,-0.754,-2.634,1.934,0.692
CHEMBL4074119,5.36,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4.513,0.369,1.677,0.859,4.233,1.204,6.673,3.534,1.248,2.329,58.97,2.318,3.508,1.333,3.79,-0.023,1.486,-0.57,58.97,3.612,1.96,-0.963,0.8,7,2.109,0.848,0.764,1.713,0.573,2.752,3.858,32.108,26.827,0.389,0.818,0.787,0.264,0.817,3.565,94.703,3.227,-0.027,23,5.163,-2.389,2.029,5.581,25,0.948,1.895,2.485,0.459,0.328,15.921,2.066,2.976,1.416,4.883,0.599,0.565,0.872,2.456,3.481,-0.192,4.361,-3.74,16.825,0.476,2.769,1.036,-2.791,-2.126,0.292,2.511,3.968,132.897,4,9,1.847,9.548,10.233,15.108,4.963,0.101,2.27,4.725,8.745,2.665,-0.203,0.983,0.309,0.761,18.435,2.99,21.154,0.807,14,0.901,0.231,4.042,-0.358,1.768,0.074,0.1,0.098,5.757,-1.659,2.88,1.146,5.977,10.264,0.37,-1.342,0.379,4.183,1.389,2.271,0.742,1.058,5.425,0.725,3.118,2.023,0.159,0.064,4.418,1.459,9.714,3.295,83,2.831,3.383,-0.123,-1.636,1.665,0.134
CHEMBL4074152,5.04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.302,0.353,1.63,1.024,3.94,1.379,5.653,2.945,1.187,2.234,41.57,2.964,3.483,2.209,3.075,-0.256,1.271,-0.81,41.57,3.677,1.591,-0.446,0.905,9,2.048,1.122,0.976,1.82,0.453,2.813,3.703,41.884,28.028,0.41,0.933,0.445,0.232,1.203,3.801,98.21,3.424,-0.008,7,4.514,-4.611,1.972,8.307,20,1.282,2,2.226,1.692,0.298,16.624,1.849,3.038,1.404,4.465,0.691,0.824,0.953,2.042,3.521,0.055,3.835,-2.786,26.922,1.1,2.951,0.786,-4.154,-1.579,0.332,2.853,3.904,108.987,16,14,2.691,23.344,9.594,19.107,9.278,0.073,1.956,5.078,5.84,2.559,0.055,1.098,0.347,0.953,19.331,2.877,26.012,1.386,6,0.965,0.414,3.558,-0.116,0.806,0.069,0.003,0.004,5.407,-2.022,3.02,1.232,4.035,12.365,1.132,-2.554,0.328,4.643,1.036,1.063,0.88,1.187,5.656,0.888,2.957,2.014,0.165,0.054,4.31,1.117,11.763,3.253,65,2.675,3.583,-0.357,-2.503,1.799,0.741
CHEMBL4075667,5.58,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.585,0.361,1.596,0.782,3.94,1.354,5.729,2.908,0.799,2.338,42.31,3.172,3.465,1.373,3.256,-0.179,1.443,-0.81,42.31,3.588,1.868,-0.602,0.799,7,2.094,1.121,0.752,1.796,0.711,2.775,1.919,41.262,25.74,0.409,0.623,0.817,0.266,0.534,3.801,59.804,3.441,0.297,12,5.359,-3.625,2.002,8.481,12,0.724,1.948,2.184,0.923,0.404,14.104,1.427,3.075,1.411,5.277,0.789,0.562,0.654,1.939,3.508,-0.257,4.353,-2.786,25.666,0.458,3.083,0.786,-4.241,-1.832,0.376,2.801,3.946,80.626,17,15,2.127,15.175,10.025,13.232,6.262,0.078,1.807,5.317,4.218,2.432,-0.1,0.853,0.422,0.863,16.093,2.944,23.38,0.856,4,0.674,0.444,3.484,-1.096,0.924,0.105,0.179,0.181,4.082,-1.103,2.905,1.059,1.143,10.032,0.909,-1.409,0.316,4.067,1.224,2.549,0.728,1.327,7.642,0.844,2.76,1.8,0.297,0.088,3.924,1.323,8.765,3.079,66,2.56,3.535,-0.344,-1.757,1.654,0.461
CHEMBL4076402,5.23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.585,0.343,1.673,0.916,3.94,1.354,5.509,3.009,0.973,2.359,42.31,3.172,3.507,1.748,3.256,0.089,1.334,-0.81,42.31,3.584,1.839,-0.897,0.941,9,2.104,0.998,0.754,1.862,0.706,2.815,3.465,43.898,27.48,0.366,0.632,0.144,0.249,0.72,3.802,88.253,3.441,0.241,12,5.342,-4.243,2.002,8.481,16,0.805,1.952,2.414,1.372,0.31,15.958,1.663,3.075,1.411,4.488,0.747,0.604,0.662,2.035,3.527,-0.199,4.01,-2.786,27.061,0.636,2.97,0.786,-4.241,-2.101,0.325,2.824,3.946,132.109,17,15,1.796,21.511,10.025,24.006,6.765,0.087,1.851,5.428,7.142,2.434,-0.03,0.933,0.314,0.859,22.939,2.944,27.277,1.074,4,0.682,0.414,3.414,-1.058,0.881,0.101,0.188,0.191,6.77,-1.158,3.011,1.094,2.421,9.681,0.58,-1.678,0.29,4.111,1.16,2.549,0.725,1.325,8.72,0.886,2.95,1.863,0.249,0.069,3.912,1.277,10.529,3.409,67,2.559,3.54,-0.091,-1.823,1.638,0.707
